Date,montly_value,sum_export,sum_import,sum_stock,sum_production,cpi,interest,gas_Henry,crude_brent,vehicle_sales,personal_income,export_index,import_index
2020-01,57.519047619047626,512114,33860,5471999,837842,257.971,1.55,2.02,63.65,17.314,19065.2,110.0,101.3
2020-02,50.54263157894737,499910,25852,5494183,784968,258.678,1.58,1.91,55.66,17.061,19197.0,97.4,96.6
2020-03,29.207727272727276,536736,17012,5609773,833917,258.115,0.65,1.79,32.01,11.68,18838.8,93.3,84.1
2020-04,16.547619047619047,437670,12052,5881927,752800,256.389,0.05,1.74,18.38,8.923,21050.3,61.3,61.5
2020-05,28.5625,430916,26004,5920453,634626,256.394,0.05,1.75,29.38,12.328,20216.6,59.4,67.1
2020-06,38.307272727272725,406186,39428,6035200,658870,257.797,0.08,1.63,40.27,13.271,20171.3,71.1,71.1
2020-07,40.710454545454546,485460,24532,6025968,718439,259.101,0.09,1.77,43.24,15.075,20379.3,75.4,76.6
2020-08,42.33904761904762,491752,39432,5924199,691233,259.918,0.10,2.3,44.74,15.704,19773.2,75.2,80.0
2020-09,39.63428571428571,460158,28376,5891423,691116,260.280,0.09,1.92,40.91,16.692,19905.2,76.2,73.6
2020-10,39.39590909090909,456531,30056,5810379,683862,260.388,0.09,2.39,40.19,17.084,19878.9,75.1,73.6
2020-11,40.93736842105263,418033,29944,5841628,708548,260.229,0.09,2.61,42.69,16.492,19692.2,74.2,73.1
2020-12,47.025,500374,30724,5707663,729791,260.474,0.09,2.59,49.99,16.927,19819.7,83.1,75.7
2021-01,52.008421052631576,472458,46556,5656313,727456,261.582,0.09,2.71,54.77,17.327,21725.4,91.2,81.8
2021-02,59.04631578947369,360265,46180,5665034,588368,263.014,0.08,5.35,62.28,16.106,20189.4,99.6,87.4
2021-03,62.333043478260876,432373,33608,5732055,740977,264.877,0.07,2.62,65.41,18.223,24371.9,111.6,94.7
2021-04,61.71666666666666,466800,55268,5658116,715554,267.054,0.07,2.66,64.81,18.655,21180.9,110.5,99.9
2021-05,65.1695,452119,62592,5600744,743132,269.195,0.06,2.91,68.53,17.177,20769.3,118.6,106.8
2021-06,71.37818181818182,501938,68124,5444693,718326,271.696,0.08,3.26,73.16,15.757,20798.9,122.5,109.6
2021-07,72.4852380952381,442946,50036,5436793,741277,273.003,0.10,3.84,75.17,15.067,21023.3,125.3,112.0
2021-08,67.73045454545455,475247,55284,5330701,734757,273.567,0.09,4.07,70.75,13.486,21082.7,124.8,114.9
2021-09,71.64619047619047,398003,43212,5312400,690456,274.310,0.08,5.16,74.49,12.731,20909.7,127.1,116.5
2021-10,81.47666666666666,441113,48912,5342935,754067,276.589,0.08,5.51,83.54,13.662,21073.0,138.8,124.6
2021-11,79.14750000000001,479202,39280,5250258,744311,277.948,0.08,5.05,81.05,13.542,21176.6,141.0,129.8
2021-12,71.71181818181819,529279,47428,5116825,761836,278.802,0.08,3.76,74.17,13.172,21236.8,127.0,125.3
2022-01,83.22200000000001,492716,29420,5038039,749092,281.148,0.08,4.38,86.51,15.55,21205.7,141.6,127.9
2022-02,91.64105263157894,441473,25992,4959779,666015,283.716,0.08,4.69,97.13,14.166,21319.5,161.8,142.1
2022-03,108.50260869565217,494778,44812,4935048,769660,287.504,0.20,4.9,117.25,14.007,21434.3,197.6,170.8
2022-04,101.7775,516906,45892,4887305,743420,289.109,0.33,6.6,104.58,14.739,21474.1,196.1,165.9
2022-05,109.55238095238094,511679,47536,4803955,765313,292.296,0.77,8.14,113.34,13.043,21573.6,229.6,186.9
2022-06,114.83714285714285,517903,69776,4709665,744599,296.311,1.21,7.7,122.71,13.52,21687.0,239.2,194.7
2022-07,101.619,545142,50664,4686903,771210,296.276,1.68,7.28,111.93,13.805,21852.3,209.2,197.8
2022-08,93.66521739130435,540040,48400,4598326,780276,296.171,2.33,8.81,100.45,13.738,21975.8,182.7,183.4
2022-09,84.25809523809524,535852,49732,4525738,777492,296.808,2.56,7.88,89.76,14.113,22080.4,180.2,175.0
2022-10,87.5547619047619,562531,52292,4502461,806080,298.012,3.08,5.66,93.33,15.773,22201.9,196.8,174.1
2022-11,84.37047619047618,563872,59076,4367789,781099,297.711,3.78,5.45,91.42,14.851,22240.1,193.3,166.4
2022-12,76.43714285714286,562483,37428,4318818,791131,296.797,4.10,5.53,80.92,13.875,22281.9,155.0,165.8
2023-01,78.123,524624,46496,4467045,818731,299.170,4.33,3.27,82.5,16.455,22432.0,163.0,145.2
2023-02,76.83263157894737,514197,39620,4497009,739817,300.840,4.57,2.38,82.59,15.438,22520.6,163.1,145.1
2023-03,73.27782608695652,668335,40232,4441135,831218,301.836,4.65,2.31,78.43,15.404,22605.1,164.6,137.6
2023-04,79.44631578947369,551776,47896,4393584,797765,303.363,4.83,2.16,84.64,16.587,22669.7,161.6,142.0
2023-05,71.57818181818182,551385,46108,4389598,826179,304.127,5.06,2.15,75.47,15.63,22761.5,141.0,132.6
