date,oil_spot_price_weekly,sum_refiner,sum_blender,sum_export,sum_import,sum_stock,natural_gas_spot,brent_spot
2010-06-06,72.9075,24800,26749,1819,51704,377915,4.44,72.71
2010-06-13,73.436,24507,27442,1819,52709,378613,4.73,72.76
2010-06-20,76.7,24736,27717,2058,55208,381991,5.1,76.22
2010-06-27,77.06,25214,27856,2058,52633,386192,4.93,76.64
2010-07-04,74.958,24559,28932,2058,53085,384178,4.66,73.86
2010-07-11,74.38749999999999,25148,28451,2058,51096,374974,4.65,73.95
2010-07-18,76.348,24606,28133,2153,54755,374049,4.48,75.7
2010-07-25,77.562,24505,28989,2153,60635,390483,4.64,76.64
2010-08-01,78.12,24562,28577,2153,53890,383621,4.75,77.24
2010-08-08,81.786,23822,28759,2153,52748,384796,4.8,82.69
2010-08-15,78.172,23228,28581,2094,53632,381565,4.42,78.21
2010-08-22,74.84400000000001,23947,29378,2094,55396,389808,4.3,74.94
2010-08-29,72.91,23501,29109,2094,53884,395639,3.96,72.82
2010-09-05,74.02000000000001,23934,28438,2094,50020,392807,3.76,75.41
2010-09-12,74.82000000000001,23350,27617,2222,49617,388352,3.8,77.17
2010-09-19,75.616,23981,27059,2222,51602,389198,4.01,78.44
2010-09-26,73.756,23456,28698,2222,50202,390945,4.01,78.38
2010-10-03,78.40599999999999,22544,28933,2222,49266,395598,3.79,79.82
2010-10-10,82.29400000000001,21883,29880,2222,45252,396367,3.52,83.87
2010-10-17,82.164,22127,30431,2219,47900,397670,3.49,83.11
2010-10-24,81.148,21770,30273,2219,52731,398313,3.37,81.43
2010-10-31,82.03,21091,29807,2219,47619,400693,3.31,82.25
2010-11-07,84.928,21604,29754,2219,45180,396214,3.39,85.6
2010-11-14,86.90799999999999,21508,29727,2155,43965,383870,3.7,87.43
2010-11-21,82.23400000000001,22604,29517,2155,50087,380632,3.73,83.94
2010-11-28,82.2775,21929,28256,2155,46511,386920,3.9,83.51
2010-12-05,86.752,22975,30280,2155,50540,383463,4.2,88.1
2010-12-12,88.49600000000001,22824,30527,2285,43161,366403,4.46,90.25
2010-12-19,88.268,23165,30425,2285,49611,354732,4.26,90.91
2010-12-26,89.6625,22512,30895,2285,49397,345267,4.09,92.9
