DATE,IY324
2005-12-01,100.0
2006-01-01,105.9
2006-02-01,104.2
2006-03-01,108.5
2006-04-01,117.7
2006-05-01,123.9
2006-06-01,124.1
2006-07-01,125.3
2006-08-01,129.6
2006-09-01,114.7
2006-10-01,104.7
2006-11-01,104.8
2006-12-01,108.9
2007-01-01,102.9
2007-02-01,105.9
2007-03-01,113.5
2007-04-01,121.6
2007-05-01,121.7
2007-06-01,125.1
2007-07-01,128.7
2007-08-01,122.8
2007-09-01,126.9
2007-10-01,128.4
2007-11-01,147.6
2007-12-01,141.6
2008-01-01,149.0
2008-02-01,142.4
2008-03-01,162.6
2008-04-01,170.2
2008-05-01,181.9
2008-06-01,200.6
2008-07-01,215.0
2008-08-01,186.0
2008-09-01,179.7
2008-10-01,156.1
2008-11-01,119.7
2008-12-01,97.4
2009-01-01,95.9
2009-02-01,88.4
2009-03-01,80.8
2009-04-01,90.4
2009-05-01,92.3
2009-06-01,106.5
2009-07-01,96.7
2009-08-01,109.8
2009-09-01,102.1
2009-10-01,102.8
2009-11-01,112.9
2009-12-01,113.2
2010-01-01,121.5
2010-02-01,112.3
2010-03-01,120.2
2010-04-01,128.0
2010-05-01,125.4
2010-06-01,116.9
2010-07-01,115.1
2010-08-01,125.2
2010-09-01,121.6
2010-10-01,127.3
2010-11-01,133.7
2010-12-01,139.8
2011-01-01,144.6
2011-02-01,153.8
2011-03-01,172.0
2011-04-01,179.0
2011-05-01,178.3
2011-06-01,175.5
2011-07-01,175.8
2011-08-01,173.5
2011-09-01,174.5
2011-10-01,162.9
2011-11-01,169.9
2011-12-01,163.7
2012-01-01,167.6
2012-02-01,171.0
2012-03-01,178.2
2012-04-01,183.9
2012-05-01,174.1
2012-06-01,158.3
2012-07-01,159.1
2012-08-01,167.9
2012-09-01,177.5
2012-10-01,177.4
2012-11-01,163.8
2012-12-01,161.5
2013-01-01,163.8
2013-02-01,171.4
2013-03-01,170.9
2013-04-01,164.0
2013-05-01,159.1
2013-06-01,159.6
2013-07-01,163.7
2013-08-01,168.9
2013-09-01,171.3
2013-10-01,161.5
2013-11-01,165.0
2013-12-01,173.2
2014-01-01,172.1
2014-02-01,175.2
2014-03-01,178.5
2014-04-01,164.9
2014-05-01,165.9
2014-06-01,162.1
2014-07-01,164.3
2014-08-01,160.1
2014-09-01,159.2
2014-10-01,149.9
2014-11-01,137.9
2014-12-01,121.5
2015-01-01,98.4
2015-02-01,104.8
2015-03-01,109.4
2015-04-01,102.2
2015-05-01,112.6
2015-06-01,112.3
2015-07-01,108.7
2015-08-01,97.4
2015-09-01,91.9
2015-10-01,90.9
2015-11-01,87.9
2015-12-01,77.5
2016-01-01,69.5
2016-02-01,64.6
2016-03-01,65.8
2016-04-01,68.7
2016-05-01,77.7
2016-06-01,87.1
2016-07-01,84.3
2016-08-01,79.7
2016-09-01,85.7
2016-10-01,92.3
2016-11-01,90.6
2016-12-01,94.8
2017-01-01,96.6
2017-02-01,94.6
2017-03-01,92.9
2017-04-01,96.0
2017-05-01,89.7
2017-06-01,90.5
2017-07-01,89.8
2017-08-01,98.3
2017-09-01,106.4
2017-10-01,101.1
2017-11-01,107.5
2017-12-01,105.7
2018-01-01,112.0
2018-02-01,112.5
2018-03-01,109.3
2018-04-01,114.2
2018-05-01,121.3
2018-06-01,121.7
2018-07-01,123.6
2018-08-01,122.9
2018-09-01,124.3
2018-10-01,131.5
2018-11-01,118.3
2018-12-01,103.1
2019-01-01,100.1
2019-02-01,105.6
2019-03-01,112.8
2019-04-01,116.6
2019-05-01,117.2
2019-06-01,107.9
2019-07-01,111.7
2019-08-01,107.5
2019-09-01,106.0
2019-10-01,107.0
2019-11-01,107.3
2019-12-01,105.3
2020-01-01,110.0
2020-02-01,97.4
2020-03-01,93.3
2020-04-01,61.3
2020-05-01,59.4
2020-06-01,71.1
2020-07-01,75.4
2020-08-01,75.2
2020-09-01,76.2
2020-10-01,75.1
2020-11-01,74.2
2020-12-01,83.1
2021-01-01,91.2
2021-02-01,99.6
2021-03-01,111.6
2021-04-01,110.5
2021-05-01,118.6
2021-06-01,122.5
2021-07-01,125.3
2021-08-01,124.8
2021-09-01,127.1
2021-10-01,138.8
2021-11-01,141.0
2021-12-01,127.0
2022-01-01,141.6
2022-02-01,161.8
2022-03-01,197.6
2022-04-01,196.1
2022-05-01,229.6
2022-06-01,239.2
2022-07-01,209.2
2022-08-01,182.7
2022-09-01,180.2
2022-10-01,196.8
2022-11-01,193.3
2022-12-01,155.0
2023-01-01,163.0
2023-02-01,163.1
2023-03-01,164.6
2023-04-01,161.6
2023-05-01,141.0
2023-06-01,141.5
2023-07-01,145.4
2023-08-01,167.0
