"U.S. Emissions, Industrial Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Fossil fuel combustion: carbon dioxide",809.0518496727974,794.9263446199918,822.4429097446812,821.6956031902448,828.1889227906036,845.2815029445557,878.3409044314847,872.6680677929371,847.1178804550999,801.906111088126,829.0499800984113,825.4732218296887,810.2020244676003,808.1878384172,826.6038359339204,799.9947604890476,820.6458558213112,814.4512591342184,771.1475402647548,696.0790919144545,749.307430316947,749.9358684641256,758.2005921847774,788.4616583428933,767.7146043751887,756.8297138500138,752.6981696058849,749.2040521766596,773.7178995154079,776.2296432862979,729.273037840749,739.1322018948682
"Natural gas and petroleum systems",315.79560396984994,318.8125751090817,316.44692385601763,316.7494979297789,317.9048902701972,310.7302122150866,308.35080137394186,310.2273132323295,301.29145671131937,295.336683421402,299.013908413344,300.9123572147875,297.8569460516011,297.6654743794587,300.4017972455512,297.568268279027,307.9108745464234,307.0642949364314,314.8039626567223,301.0578152523745,300.96006934977606,308.9405116988871,307.1260659437728,324.93315097404127,328.6593077271135,326.90225769031713,297.4367683704811,312.7352127030707,332.1607581107571,347.2831399068143,313.6544533182749,300.6499290060948
"Other industrial categories",119.7757585809953,125.61107679423651,134.00393530264512,123.2134102171315,134.55484963371978,130.7348048435495,127.347954642123,137.9911005990678,142.8324104199672,162.6488122155379,133.64363298935731,132.4147552367343,131.4359680552076,127.64606994732301,145.5616650537061,138.1180094604478,137.521319011213,125.30547728796319,124.0357316489598,110.1757147444044,112.3200182107149,107.70499050668658,107.9576719592713,120.1190113399655,115.3690640409735,125.7871453827421,118.0564817626995,132.6075719457821,149.769918863785,148.5632042693027,141.3321929851428,162.2664072142178
"Chemical industry",70.26254408349031,71.09840830052778,71.5460122504696,73.4846661625449,76.97117937865241,81.0473332922872,82.5334272036764,78.3343563566136,75.8357392949832,74.7248617257461,72.7159196316154,62.0793057613739,65.6508530077858,63.38911146093591,65.2918091783699,64.6414102306655,65.11302272453989,71.17305971297529,57.2819688598632,53.6887651192046,62.4603402744486,65.90265880505521,61.9060138900665,60.583314425361195,59.9572479326941,63.2757542020919,65.2993391762005,67.6996589219667,71.9275723945581,68.77407919180929,69.4819986947649,70.7612391700303
"Mineral industry",51.70025912027074,50.69889123544,51.4018564763395,53.4447345614278,55.59253886402175,58.098286309003655,59.38097655932545,60.856234316346004,62.187237346835644,63.0295722071482,62.63062041985725,61.638981457183505,62.95172040852565,63.44079672048315,67.5254142644677,68.25269942573385,70.5298597751533,68.3879209094518,63.30966291481575,49.043380053231196,56.619290677508246,57.197712300200095,59.562444626582845,62.04848026864095,66.41843349326935,66.26776505692919,64.23390606265279,64.70382134453405,61.8715320196531,64.02814150798565,63.014605873701896,64.11653083407055
"Coal mining",120.7352919090944,117.08983065929439,114.8641035591855,99.5976807357082,102.1329715736247,100.9017671697593,100.86772963654039,99.1762794291749,98.6414464416599,93.4150751312738,90.4228737795362,89.35359930209209,83.71636394620879,83.6469945791426,84.990476937968,83.3966449149981,84.8500401197772,83.68769551450569,95.8984823756326,100.3634922343787,103.2311443114678,90.81699024308621,83.7745762222618,83.17378289162271,83.4241611039846,79.22420307624421,70.6985767395629,71.75054942792781,69.157265869121,62.6157287641971,54.841907497039,53.4898198955853
"Metal industry",139.6841677888457,126.9195093174209,126.6166388757975,121.18688064148401,121.7223079869459,125.61786451072129,125.6501925253951,125.0964341892525,115.7370874853285,112.88787651538901,112.012302230128,93.4953407661646,91.3283049684473,87.48190436900401,85.2877806389474,83.1804832824409,85.3327519978155,88.71910971656389,82.6396915802876,54.0303434830676,67.7481977907629,74.884742091351,68.93163232834699,66.3858655970614,67.8543202127416,57.03840684452351,50.6287888621157,47.5357276880139,50.4827513113935,50.535380295402504,44.66665824213,48.2712832520306
"Production and use of fluorinated gases",41.9220463363247,38.0128034064687,41.8973421604687,39.27579864979632,38.088668166467635,41.93616090922637,42.06892824927952,41.735910119094626,53.48661996475317,44.353429860442134,41.179252834710425,29.844119056441265,32.64080335631855,24.48175252909628,30.17914749893867,29.167965698178374,28.215184363866445,31.98213386592365,28.860121811275775,21.57515241360161,26.4072674397586,30.102204338881382,28.677509529648272,28.929332291109905,31.74447965377157,33.638022645734836,34.797927292345605,39.03114262620552,39.493089446910744,40.7357066195996,40.22671837649035,39.47652744103768
"Fossil fuel combustion: other greenhouse gases",8.3364991037768,8.254939753889401,8.4620082659446,8.4823244359334,8.7631814394535,8.9469102330397,9.118779948737298,9.2557841567689,9.0150561789598,8.8987265948582,9.1087461707935,9.3833928464977,9.294625951611199,9.5370685701192,10.056458006763501,10.123730398507899,10.9803172511619,9.9626757206357,9.5611379282437,8.8103645219441,9.526706499596301,9.437586412882201,9.386916604705199,9.7401788621477,9.4994209576512,9.1466489785048,9.2029570029554,9.2771774238558,9.4213785963676,9.443871073867399,8.938922405821799,9.101753836307
"Gross total",1677.2640205654454,1651.4243791963513,1687.6817304915492,1657.1305965240501,1683.9195101036864,1703.2948424272295,1733.6596945705037,1735.3414801915847,1706.1449342989065,1657.201148759923,1649.7772365677533,1604.5950734709634,1585.0776102133066,1565.4770109727629,1615.8983847586328,1574.4439721790475,1611.0992256112618,1600.7336267986693,1547.5383000405554,1394.8241197366613,1488.58046487098,1494.923264861155,1485.5234232894331,1544.374774992844,1530.6410394973882,1518.1099177271014,1463.0529148748983,1494.544914258016,1558.002166127954,1568.2088949152762,1465.430495234115,1487.2656925442418
